,Category,Fund Family,Net Assets,YTD Return,Yield,Morningstar Rating,Inception Date,Last Dividend,Last Cap Gain,Holdings Turnover,Average for Category,Expense,Annual Report Expense Ratio (net),Prospectus Net Expense Ratio,Prospectus Gross Expense Ratio,Max 12b1 Fee,Max Front End Sales Load,Max Deferred Sales Load,3 Yr Expense Projection,5 Yr Expense Projection,10 Yr Expense Projection,TRHistoryAvailable
168,Mid-Cap Growth,Wells Fargo Funds,782.69M,35.15%,0.00%,★★★★,"Feb 23, 2000",0.00,0.00,62.00%,N/A,SENAX,1.18%,1.18%,1.25%,0.00%,5.75%,N/A,942,"1,216","1,994",True
169,Mid-Cap Growth,Champlain Funds,3.47B,16.11%,0.00%,★★★★,"Jun 29, 2008",0.00,0.00,33.00%,N/A,CIPMX,1.15%,1.15%,1.15%,0.25%,N/A,N/A,365,633,"1,398",True
170,Mid-Cap Growth,Touchstone,1.2B,27.27%,0.00%,★★★,"Oct 2, 1994",0.00,0.00,71.00%,N/A,TOECX,2.04%,2.04%,2.04%,1.00%,N/A,1.00%,640,"1,098","2,369",True
171,Mid-Cap Growth,Franklin Templeton Investments,3.42B,25.17%,0.00%,★★★,"Feb 13, 1992",0.00,0.00,54.28%,N/A,FRSGX,0.91%,0.91%,0.92%,0.25%,5.50%,N/A,826,"1,030","1,619",True
172,Mid-Cap Growth,BlackRock,4.94B,35.54%,0.00%,★★★★★,"Dec 26, 1996",0.00,0.00,43.00%,N/A,BMGAX,1.05%,1.05%,1.26%,0.25%,5.25%,N/A,884,"1,161","1,950",True
173,Mid-Cap Growth,Legg Mason,91.79M,23.97%,0.00%,★★,"Aug 30, 2010",0.00,0.00,21.00%,N/A,LBGAX,1.20%,1.20%,1.32%,0.25%,5.75%,N/A,958,"1,246","2,064",True
174,Mid-Cap Growth,Nicholas,917.36M,25.00%,0.26%,★★★,"Feb 27, 2005",0.00,0.00,26.63%,N/A,NNTWX,0.93%,0.93%,0.93%,0.25%,N/A,N/A,296,515,"1,143",True
175,Mid-Cap Growth,Needham,94.59M,24.75%,0.00%,★,"Jan 1, 1996",0.00,0.00,8.00%,N/A,NEEGX,2.76%,2.76%,2.76%,0.25%,N/A,N/A,856,"1,459","3,090",True
176,Mid-Cap Growth,FAM,1.32B,19.41%,0.09%,★★★,"Jan 1, 1987",0.07,0.00,12.00%,N/A,FAMVX,1.19%,1.19%,1.20%,N/A,N/A,N/A,380,659,"1,454",True
177,Mid-Cap Growth,JPMorgan,2.71B,21.49%,0.23%,★★★,"Nov 1, 2009",0.00,0.00,34.00%,N/A,JCMAX,1.14%,1.14%,1.26%,0.25%,5.25%,N/A,892,"1,169","1,958",True
178,Mid-Cap Growth,FAM,1.32B,19.57%,0.26%,★★★,"Jan 2, 2017",0.22,0.00,12.00%,N/A,FAMWX,1.00%,1.00%,1.11%,N/A,N/A,N/A,342,601,"1,342",True
179,Mid-Cap Growth,Wells Fargo Funds,782.69M,34.47%,0.00%,★★★,"Mar 30, 2008",0.00,0.00,62.00%,N/A,WENCX,1.93%,1.93%,2.00%,0.75%,N/A,1.00%,621,"1,071","2,322",True
180,Mid-Cap Growth,HSBC,133.23M,18.32%,0.00%,★★,"Sep 22, 1996",0.00,0.00,77.00%,N/A,HSOAX,1.65%,1.65%,5.37%,0.00%,5.00%,N/A,"1,710","2,753","5,326",True
181,Mid-Cap Growth,Virtus,544.36M,34.76%,0.00%,★★★★,"Dec 30, 1975",0.00,0.00,N/A,N/A,PHSKX,1.41%,1.41%,1.38%,0.25%,5.75%,N/A,990,"1,289","2,140",True
182,Mid-Cap Growth,Goldman Sachs,1.3B,26.05%,0.00%,★★,"May 23, 1999",0.00,0.00,60.00%,N/A,GGOCX,1.99%,1.99%,2.12%,0.75%,N/A,1.00%,651,"1,127","2,442",True
183,Small Growth,Pioneer Investments,567.27M,15.00%,0.00%,★★,"Sep 29, 1996",N/A,0.00,137.00%,N/A,PGOFX,1.26%,1.26%,1.26%,0.25%,5.75%,N/A,952,"1,227","2,010",False
184,Mid-Cap Growth,Neuberger Berman,1.44B,28.88%,0.00%,★★★★,"Apr 18, 2007",0.00,0.00,50.00%,N/A,NBMLX,0.71%,0.71%,0.71%,N/A,N/A,N/A,227,395,883,True
185,Mid-Cap Growth,Advisors Preferred,160.52M,9.87%,0.00%,★,"Mar 17, 2016",0.00,0.00,495.00%,N/A,QMLAX,2.36%,2.36%,2.36%,1.00%,N/A,N/A,736,"1,260","2,696",True
186,Mid-Cap Growth,Baron Capital Group,231.59M,14.86%,0.00%,★★,"Jun 29, 2008",0.00,0.00,1.85%,N/A,BFGFX,1.35%,1.35%,1.39%,0.25%,N/A,N/A,428,739,"1,624",True
